Publication_code,Author,Year,Title,Comparison_identifier,Animal,Strain,Sex,Comorbidity,Comorbidity_induction,Age_weeks_min,Age_weeks_mean,Age_weeks_max,Weight_g_min,Weight_g_mean,Weight_g_max,N_control_groups,N_animals_control,N_treatment_groups,N_animals_treatment,N_treatment_to_control,Effective_n_control,Primary_anaesthetic,Secondary_anaesthetic,Surgical_level,Brain_area,RB_dose,RB_dose_units,RB_dose_mgkg,Light_intensity,Light_intensity_units,Light_intensity_Wcm2,Light_type,Light_source,Light_wavelength,Light_aperture,Light_time,Treatment,Treatment_class,Treatment_dose,Treatment_dose_units,Treatment_initial_hour,Treatment_time_class,Infarct_time,Infarct_measurement,Infarct_mean_control,Infarct_error_control,Infarct_mean_treatment,Infarct_error_treatment,Infarct_diff_from_control,Infarct_diff_from_control_error,Infarct_units,Infarct_error_units,Infarct_percent_control,Infarct_percent_treatment,Infarct_SD_control,Infarct_SD_control_percent,Infarct_SD_treatment,Scale_type,Scale_score_control,Scale_error_control,Scale_score_treatment,Scale_error_treatment,Scale_error_units,Scale_time,Multiple_timepoints,Multiple_doses
Arii_2002,"Arii, K.",2002,The effect of ozagrel sodium on photochemical thrombosis in rat: therapeutic window and combined therapy with heparin sodium,b,Rat,Sprague-Dawley,Male,None,NA,NR,6,NR,152,175,185,1,9,3,7,3,3,Nitrous oxide,Halothane,"Scalp retracted, skull intact",NR,10,mg/kg,10,NR,NA,NA,Xenon lamp,Xenon,540,NR,5,Heparin,Thrombolytics,150,IU/kg,0,During stroke,72,Other histology (ex vivo),12.92,2.99,13.91,4.73,NA,NA,Indirect rLV % hemisphere,SD,6.46,6.955,2.99,1.495,4.73,None,NA,NA,NA,NA,NA,NA,No,No
Avraham_2011,"Avraham, Y.",2011,Leptin induces neuroprotection neurogenesis and angiogenesis after stroke,a,Mouse,Sabra,Male,None,NA,NR,NR,NR,NR,40,NR,1,18,1,20,1,18,NR,NA,"Scalp retracted, skull intact",Middle cerebral artery (MCA),10,mg/kg,10,NR,NA,NA,Cold light,NR,NR,NR,20,Leptin,Energy substrates,1,mg/kg,0.5,After stroke,2160,Other histology (ex vivo),14.4,8.78,5.19,2.18,NA,NA,Indirect rLV % hemisphere,NR,7.2,2.595,NA,NA,NA,NSS,3.44,0.29,2.12,0.17,NR,264,Yes,No
Avraham_2010,"Avraham, Y.",2010,"Leptin reduces infarct size in association with enhanced expression of CB2, TRPV1, SIRT-1 and leptin receptor",a,Mouse,Sabra,Male,None,NA,NR,NR,NR,NR,50,NR,1,10,6,10,6,1.666666667,Isoflurane,NA,"Scalp retracted, skull intact",Distal middle cerebral artery (dMCA),10,mg/kg,10,NR,NA,NA,Cold light,NR,NR,NR,10,Leptin,Energy substrates,1,mg/kg,0.5,After stroke,72,TTC (ex vivo),11.14,0.78,7.65,0.86,NA,NA,Indirect rLV % hemisphere,SEM,5.57,3.825,2.466576575,1.233288287,2.719558788,NSS,2.58,0.28,1.2,0.2,SEM,504,Yes,Yes
Avraham_2013,"Avraham, Y.",2013,Delayed leptin administration after stroke induces neurogenesis and angiogenesis,a,Mouse,Sabra,Male,None,NA,NR,NR,NR,NR,40,NR,1,18,2,20,2,9,NR,NA,"Scalp retracted, skull intact",Distal middle cerebral artery (dMCA),10,mg/kg,10,NR,NA,NA,Cold light,NR,NR,NR,20,Leptin,Energy substrates,3,mg/kg,240,After stroke,2160,Other histology (ex vivo),12.47,4.28,14.75,1.32,NA,NA,Indirect rLV % hemisphere,SEM,6.235,7.375,18.15850214,9.07925107,5.903219461,NSS,4.49,0.21,3.02,0,SEM,312,Yes,Yes
Bai_2014,"Bai, Y. Y.",2014,Image-guided pro-angiogenic therapy in diabetic stroke mouse models using a multi-modal nanoprobe,a,Mouse,C57BL/6,Male,None,NA,NR,8,NR,NR,NR,NR,1,6,1,6,1,6,Isoflurane,NA,Scalp and skull intact,NR,100,mg/kg,100,NR,NA,NA,Cold light,NR,NR,4,15,EPCs: endothelial progenitor cells,Anti-apoptosis/regeneration,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,NA,NR,NR,NA,NA,NA,NA,NA,mNSS,4.85,0.71,4,0.9,NR,504,Yes,No
Bai_2014,"Bai, Y. Y.",2014,Image-guided pro-angiogenic therapy in diabetic stroke mouse models using a multi-modal nanoprobe,b,Mouse,db/db,Male,Diabetes,Genetic,NR,8,NR,NR,NR,NR,1,6,1,6,1,6,Isoflurane,NA,Scalp and skull intact,NR,100,mg/kg,100,NR,NA,NA,Cold light,NR,NR,4,15,EPCs: endothelial progenitor cells,Anti-apoptosis/regeneration,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,NA,NR,NR,NA,NA,NA,NA,NA,mNSS,5.99,0.88,5.24,0,NR,504,Yes,No
Bailey_1995,"Bailey, S. J.",1995,"Failure of isradipine to reduce infarct size in mouse, gerbil, and rat models of cerebral ischemia",a,Rat,Lister Hooded Rat,Male,None,NA,NR,NR,NR,250,265,280,1,10,1,10,1,10,Halothane,NA,"Scalp retracted, skull intact",NR,20,mg/kg,20,300,W,NA,Xenon lamp,Xenon,NR,5,5,Isradipine,Blood flow,2.5,mg/kg,1,After stroke,168,Other histology (ex vivo),12.27,1.47,9.55,1.33,NA,NA,mm3,SEM,0.622526636,0.484525622,4.64854816,0.235847192,4.205829288,None,NA,NA,NA,NA,NA,NA,No,No
Baldwin_1994,"Baldwin, H. A.",1994,Attenuation by chlormethiazole administration of the rise in extracellular amino acids following focal ischaemia in the cerebral cortex of the rat,a,Rat,Lister Hooded Rat,Male,None,NA,NR,NR,NR,280,320,360,1,10,1,10,1,10,Nitrous oxide,Halothane,Other,NR,20,mg/kg,20,150,W,NA,Halogen lamp,Halogen,NR,NR,7,Chlormethiazole,Excitotoxicity,200,mg/kg,0.8,During stroke,24,TTC (ex vivo),6.81,0.73,4.79,0.83,NA,NA,mm2,SEM,NA,NA,2.308462692,NA,2.624690458,None,NA,NA,NA,NA,NA,NA,No,No
Bandla_2016,"Bandla, A.",2016,Peripheral sensory stimulation is neuroprotective in a rat photothrombotic ischemic stroke model,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,250,275,300,1,3,2,3,2,1.5,Sodium Pentobarbital,NA,Skull breached,Primary forelimb somatosensory cortex (S1FL),10,mg/ml,20,5,mW,NA,Continuous wave (CW) laser light,NR,532,NR,20,Peripheral sensory electrical stimulation (PSS),Other,2,Simultaneous administrations,NR,Before stroke,24,TTC (ex vivo),21.94,1.1,2.86,0.37,-75,NA,Direct rLV % hemisphere,NR,10.97,1.43,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,No,Yes
Bandla_2018,"Bandla, A.",2018,Simultaneous functional photoacoustic microscopy and electrocorticography reveal the impact of rtPA on dynamic neurovascular functions after cerebral ischemia,a,Rat,Wistar,Male,None,NA,NR,NR,NR,250,275,300,1,8,6,8,6,1.333333333,Sodium Pentobarbital,NA,Skull breached,Primary forelimb somatosensory cortex (S1FL),10,mg/ml,20,5,mW,NA,Continuous wave (CW) laser light,NR,532,NR,20,rTPA (Recombinant tissue plasminogen activator),Thrombolytics,10,mg/kg,1,After stroke,24,TTC (ex vivo),13,1.9,3.83,0.7,-72,5.6,Indirect rLV % hemisphere,SD,6.5,1.915,1.9,0.95,0.7,None,NA,NA,NA,NA,NA,NA,No,Yes
Baudelet_1999,"Baudelet, C.",1999,Evidence for a neuroprotective effect of pyrid-3-yl-sulphonyl-urea in photochemically induced focal ischaemia in rats: magnetic resonance imaging evaluation,a,Rat,Wistar,Male,None,NA,NR,NR,NR,250,275,300,1,5,1,6,1,5,Chloral hydrate,NA,"Scalp retracted, skull intact",NR,2.5,mL/kg,10,NR,NA,NA,Halogen lamp,Halogen,NR,1.9,5,BM27,Other,5,mg/kg,-0.5,Before stroke,6,MRI (in vivo),140.19,12.26,100.94,9.25,NA,NA,Pixels (T2 weighted MRI),SEM,NA,NA,27.4141934,NA,22.65778012,None,NA,NA,NA,NA,NA,NA,Yes,No
Benham_1993,"Benham, C. D.",1993,"SB 201823-A, a neuronal Ca2+ antagonist is neuroprotective in two models of cerebral ischaemia",a,Rat,NR,NR,None,NA,NR,NR,NR,NR,NR,NR,1,12,1,13,1,12,NR,NA,"Scalp retracted, skull intact",NR,20,mg/kg,20,NR,NA,NA,Xenon lamp,Xenon,NR,NR,NR,SB 201823-A,Blood flow,40,mg/kg,0.5,After stroke,168,Other histology (ex vivo),16.57,0.97,4.1,0.62,NA,NA,mm3,SEM,0.840690005,0.208016235,3.360178567,0.170480901,2.235441791,None,NA,NA,NA,NA,NA,NA,No,No
Bierbower_2015,"Bierbower, S. M.",2015,Augmentation of M-type (KCNQ) potassium channels as a novel strategy to reduce stroke-induced brain injury,a,Mouse,C57BL/6,Male,None,NA,16,20,24,NR,25,NR,1,8,8,5,8,1,Isoflurane,NA,Skull thinned,Somatosensory cortex,20,mg/kg,20,NR,NA,NA,Diode laser,Diode laser,561,0.8,20,Retigabine (RTG),Excitotoxicity,10.5,mg/kg,3,After stroke,24,TTC (ex vivo),2,0.04,0.96,0.08,NA,NA,mm2,SEM,NA,NA,0.113137085,NA,0.178885438,None,NA,NA,NA,NA,NA,NA,No,Yes
Bierbower_2015,"Bierbower, S. M.",2015,Augmentation of M-type (KCNQ) potassium channels as a novel strategy to reduce stroke-induced brain injury,b,Mouse,C57BL/6,Male,None,NA,16,20,24,NR,25,NR,1,8,8,5,8,1,Isoflurane,NA,Skull thinned,Somatosensory cortex,20,mg/kg,20,NR,NA,NA,Diode laser,Diode laser,561,0.8,20,NH29,Excitotoxicity,10,mg/kg,0,During stroke,24,TTC (ex vivo),2,0.04,0.98,0.14,NA,NA,mm2,SEM,NA,NA,0.113137085,NA,0.313049517,None,NA,NA,NA,NA,NA,NA,No,No
Bierbower_2015,"Bierbower, S. M.",2015,Augmentation of M-type (KCNQ) potassium channels as a novel strategy to reduce stroke-induced brain injury,c,Mouse,C57BL/6,Male,None,NA,16,20,24,NR,25,NR,1,8,8,5,8,1,Isoflurane,NA,Skull thinned,Somatosensory cortex,20,mg/kg,20,NR,NA,NA,Diode laser,Diode laser,561,0.8,20,QO-58,Excitotoxicity,0.1,mg/kg,0,During stroke,24,TTC (ex vivo),2,0.04,0.98,0.23,NA,NA,mm2,SEM,NA,NA,0.113137085,NA,0.514295635,None,NA,NA,NA,NA,NA,NA,No,No
Bierbower_2015,"Bierbower, S. M.",2015,Augmentation of M-type (KCNQ) potassium channels as a novel strategy to reduce stroke-induced brain injury,d,Mouse,C57BL/6,Male,None,NA,16,20,24,NR,25,NR,1,8,8,6,8,1,Isoflurane,NA,Skull thinned,Somatosensory cortex,20,mg/kg,20,NR,NA,NA,Diode laser,Diode laser,561,0.8,20,XE991,Excitotoxicity,3,mg/kg,0,During stroke,24,TTC (ex vivo),2,0.04,3.92,0.31,NA,NA,mm2,SEM,NA,NA,0.113137085,NA,0.75934182,None,NA,NA,NA,NA,NA,NA,No,No
Bix_2013,"Bix, G. J.",2013,Perlecan domain V is neuroprotective and affords functional improvement in a photothrombotic stroke model in young and aged mice,a,Mouse,C57BL/6,Male,None,NA,8,10,12,28,30,32,1,5,4,5,4,1.25,Nitrous oxide,Isoflurane,"Scalp retracted, skull intact",NR,10,g/L,66.66666667,NR,NA,NA,Cold light,NR,NR,2,15,Domain V (DV),Anti-apoptosis/regeneration,10,mg/kg,6,After stroke,168,Other histology (ex vivo),2.36,0.08,1.66,0.04,NA,NA,mm3,SEM,0.463736221,0.326187342,0.178885438,0.035150702,0.089442719,None,NA,NA,NA,NA,NA,NA,No,Yes
Bix_2013,"Bix, G. J.",2013,Perlecan domain V is neuroprotective and affords functional improvement in a photothrombotic stroke model in young and aged mice,b,Mouse,C57BL/6,Male,Aged,NA,NR,104,NR,28,30,32,1,7,2,7,2,3.5,Nitrous oxide,Isoflurane,"Scalp retracted, skull intact",NR,10,g/L,66.66666667,NR,NA,NA,Cold light,NR,NR,2,15,Domain V (DV),Anti-apoptosis/regeneration,10,mg/kg,3,After stroke,168,Other histology (ex vivo),2.61,0.21,1.99,0.12,NA,NA,mm3,SEM,0.51286082,0.391031813,0.555607775,0.109176038,0.317490157,None,NA,NA,NA,NA,NA,NA,No,Yes
Brown_2004,"Brown, A. W.",2004,"Motor response to amphetamine treatment, task-specific training, and limited motor experience in a postacute animal stroke model",a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,245,282.5,320,1,5,1,5,1,5,Halothane,NA,"Scalp retracted, skull intact",Sensorimotor cortex,80,mg/kg,80,150,W,NA,Halogen lamp,Halogen,NR,8,15,D-amphetamine,Nootropics/cognition,2,mg/kg,24,After stroke,48,Other histology (ex vivo),23.3,1.857,27.6,2.675,NA,NA,mm3,SEM,1.182141045,1.400304414,4.152378234,0.21067368,5.98148184,BWS - Feeney Beam Walking Score,21.875,4.79,32.25,9.02,SD,48,Yes,Yes
Buccellati_1998,"Buccellati, C.",1998,Inhibition of prostanoid synthesis protects against neuronal damage induced by focal ischemia in rat brain,a,Rat,Wistar,Male,None,NA,NR,NR,NR,200,225,250,1,NR,1,NR,1,NA,Equitensine,NA,"Scalp retracted, skull intact",Fronto-parietal cerebral cortex,1.7,mg/100g,17,150,W,NA,Halogen lamp,Halogen,NR,NR,30,Indomethacin,Anti-inflammation,20,mg/kg,-1,Before stroke,NR,Other histology (ex vivo),5.6,0.5,3.2,0.2,-43,NA,mm2,SEM,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,No,No
Buchkremer-Ratzmann_1997_a,"Buchkremer-Ratzmann, I.",1997,Pharmacological reduction of electrophysiological diaschisis after photothrombotic ischemia in rat neocortex,a,Rat,Wistar,Male,None,NA,13,19.5,26,290,300,310,1,18,1,11,1,18,Halothane,NA,"Scalp retracted, skull intact",Motor cortex,1.3,mg/100g,13,15,W/cm2,15,Cold light,NR,NR,1.5,20,MK-801 (dizocilpine maleate),Excitotoxicity,0.5,mg/kg,-0.5,Before stroke,168,Other histology (ex vivo),2.3,0.3,2.4,0.2,NA,NA,mm (diameter),SD,NA,NA,0.3,NA,0.2,None,NA,NA,NA,NA,NA,NA,No,No
Buchkremer-Ratzmann_1997_a,"Buchkremer-Ratzmann, I.",1997,Pharmacological reduction of electrophysiological diaschisis after photothrombotic ischemia in rat neocortex,b,Rat,Wistar,Male,None,NA,13,19.5,26,290,300,310,1,6,2,8,2,3,Halothane,NA,"Scalp retracted, skull intact",Motor cortex,1.3,mg/100g,13,15,W/cm2,15,Cold light,NR,NR,1.5,20,Lubeluzole,Excitotoxicity,0.62,mg/kg,0.42,After stroke,168,Other histology (ex vivo),2.4,0.2,2.2,0.2,NA,NA,mm (diameter),SD,NA,NA,0.2,NA,0.2,None,NA,NA,NA,NA,NA,NA,No,No
Buchkremer-Ratzmann_1997_a,"Buchkremer-Ratzmann, I.",1997,Pharmacological reduction of electrophysiological diaschisis after photothrombotic ischemia in rat neocortex,c,Rat,Wistar,Male,None,NA,13,19.5,26,290,300,310,1,6,2,5,2,3,Halothane,NA,"Scalp retracted, skull intact",Motor cortex,1.3,mg/100g,13,15,W/cm2,15,Cold light,NR,NR,1.5,20,Lubeluzole R-isomer,Excitotoxicity,0.62,mg/kg,0.42,After stroke,168,Other histology (ex vivo),2.4,0.2,2.1,0.3,NA,NA,mm (diameter),SD,NA,NA,0.2,NA,0.3,None,NA,NA,NA,NA,NA,NA,No,No
Cai_2018,"Cai, Y.",2018,"Diffusion Tensor Imaging Evaluation of Axonal/White Matter Remodeling in a Mouse Model of Diabetic Stroke Treated with Novel p38 MAPK Inhibitor, VCP979",a,Mouse,C57BL/6,Male,None,NA,NR,4,NR,NR,NR,NR,1,6,0,NA,NA,NA,Isoflurane,NA,"Scalp retracted, skull intact",Middle cerebral artery (MCA),0.025,mmol/kg,24.34175,NR,NA,NA,NR,NR,532,NR,2,None,NA,NA,NA,NA,NA,168,MRI (in vivo),15.81,8.55,NA,NA,NA,NA,Indirect rLV % whole brain,SD,15.81,NA,8.55,8.55,NA,mNSS,3.67,1.62,NA,NA,SD,168,Yes,NA
Cai_2018,"Cai, Y.",2018,"Diffusion Tensor Imaging Evaluation of Axonal/White Matter Remodeling in a Mouse Model of Diabetic Stroke Treated with Novel p38 MAPK Inhibitor, VCP979",b,Mouse,C57BL/6,Male,Diabetes,High-fat diet + streptozotocin,NR,4,NR,NR,NR,NR,1,6,2,6,2,3,Isoflurane,NA,"Scalp retracted, skull intact",Middle cerebral artery (MCA),0.025,mmol/kg,24.34175,NR,NA,NA,NR,NR,532,NR,2,RWJ67657,Anti-inflammation,648,mg/kg,24,After stroke,168,MRI (in vivo),35.79,5.93,28.39,5.74,NA,NA,Indirect rLV % whole brain,SD,35.79,28.39,5.93,5.93,5.74,mNSS,4.4,0.89,4.2,1.29,SD,168,Yes,No
Cai_2018,"Cai, Y.",2018,"Diffusion Tensor Imaging Evaluation of Axonal/White Matter Remodeling in a Mouse Model of Diabetic Stroke Treated with Novel p38 MAPK Inhibitor, VCP979",c,Mouse,C57BL/6,Male,Diabetes,High-fat diet + streptozotocin,NR,4,NR,NR,NR,NR,1,6,2,6,2,3,Isoflurane,NA,"Scalp retracted, skull intact",Middle cerebral artery (MCA),0.025,mmol/kg,24.34175,NR,NA,NA,NR,NR,532,NR,2,VCP979,Multiple mechanisms,504,mg/kg,24,After stroke,168,MRI (in vivo),35.79,5.93,13.7,4.63,NA,NA,Indirect rLV % whole brain,SD,35.79,13.7,5.93,5.93,4.63,mNSS,4.4,0.89,2.2,1.3,SD,168,Yes,No
Cecatto_2014,"Cecatto, R. B.",2014,Motor recovery and cortical plasticity after functional electrical stimulation in a rat model of focal stroke,a,Rat,Wistar,Male,None,NA,NR,NR,NR,200,250,300,1,8,1,8,1,8,Ketamine,Xylazine,"Scalp retracted, skull intact",Hindlimb sensorimotor cortex,30,mg/kg,30,150,W,NA,Halogen lamp,Halogen,500-600,5,30,FES - Functional electrical stimulation,Other,2,mA,96,After stroke,456,Other histology (ex vivo),4.7,0.9,4.8,0.2,NA,NA,mm (craniocaudal extent of lesion),SD,NA,NA,0.9,NA,0.2,None,NA,NA,NA,NA,NA,NA,No,No
Cekanaviciute_2014,"Cekanaviciute, E.",2014,Astrocytic transforming growth factor-beta signaling reduces subacute neuroinflammation after stroke in mice,a,Mouse,Wild type (WT),Female,None,NA,NR,8,NR,NR,NR,NR,1,8,0,NA,NA,NA,NR,NA,Skull thinned,Motor cortex,40,mg/kg,40,NR,NA,NA,Metal-halide lamp,Metal-halide,NR,5,30,None,NA,NA,NA,NA,NA,NR,Other histology (ex vivo),5.13,0.69,NA,NA,NA,NA,Direct rLV % hemisphere,SEM,2.565,NA,1.951614716,0.975807358,NA,Modified Garcia Score,9.26,0.49,NA,NA,SEM,672,Yes,No
Cekanaviciute_2014,"Cekanaviciute, E.",2014,Astrocytic transforming growth factor-beta signaling reduces subacute neuroinflammation after stroke in mice,b,Mouse,Ast-Tbr2DN,Female,None,NA,NR,8,NR,NR,NR,NR,1,8,0,NA,NA,NA,NR,NA,Skull thinned,Motor cortex,40,mg/kg,40,NR,NA,NA,Metal-halide lamp,Metal-halide,NR,5,30,None,NA,NA,NA,NA,NA,NR,Other histology (ex vivo),4.32,0.41,NA,NA,NA,NA,Direct rLV % hemisphere,SEM,2.16,NA,1.159655121,0.579827561,NA,Modified Garcia Score,6.96,0.55,NA,NA,SEM,672,Yes,No
Chang_2015_a,"Chang, D.",2015,Role of P38 MAPK on MMP Activity in Photothrombotic Stroke Mice as Measured using an Ultrafast MMP Activatable Probe,a,Mouse,C57BL/6,Male,None,NA,NR,8,NR,NR,NR,NR,1,6,1,6,1,6,Isoflurane,NA,Scalp and skull intact,NR,100,mg/kg,100,NR,NA,NA,LCD,NR,NR,4,15,RWJ67657,Anti-inflammation,700,mg/kg,0.1,After stroke,168,MRI (in vivo),17.81,2.94,10.48,1.83,NA,NA,Direct rLV % whole brain,SD,17.81,10.48,2.94,2.94,1.83,mNSS,7.96,0.72,6.29,1.03,SD,336,Yes,No
Chang_2015_b,"Chang, W. H.",2015,Effects of extradural cortical stimulation on motor recovery in a rat model of subacute stroke,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,250,275,300,1,14,1,15,1,14,Ketamine,Xylazine,Other,Primary forelimb somatosensory cortex (S1FL),20,mg/kg,20,NR,NR,NA,Cold light,NR,NR,5,20,ECS: extradural cortical stimulation,Other,3.1,Volts,120,After stroke,NR,Other histology (ex vivo),15.59,3.73,13.62,3.92,NA,NA,mm3,NR,0.790969051,0.691019787,NA,NA,NA,Garcia Score,NR,NR,NR,NR,NR,NR,No,No
